,epocas,discriminator,overall_score
0,10,1,0.9062310862968719
1,10,2,0.8969551925492619
2,10,3,0.9104157345257864
3,10,4,0.9114693737935295
4,10,5,0.9046336203599104
5,15,1,0.8858788292139214
6,15,2,0.895936803714708
7,15,3,0.9155664102949437
8,15,4,0.899577410456506
9,15,5,0.9069701780503949
10,20,1,0.8668743387642379
11,20,2,0.8872690646084802
12,20,3,0.8982340523627084
13,20,4,0.9005270197152523
14,20,5,0.9038149012713317
15,25,1,0.8953772879438532
16,25,2,0.8969259220482363
17,25,3,0.8945970596391775
18,25,4,0.9088666918474189
19,25,5,0.8995574687685273
20,30,1,0.8742997942854726
21,30,2,0.8998514067921084
22,30,3,0.8911346996654947
23,30,4,0.9135003363363393
24,30,5,0.9039708615930893
25,35,1,0.8841777452608803
26,35,2,0.8887954790932517
27,35,3,0.9025760581839855
28,35,4,0.9025449536883257
29,35,5,0.899790065721614
30,40,1,0.8612457608481595
31,40,2,0.8917698009039496
32,40,3,0.8905820885410614
33,40,4,0.9113054425226639
34,40,5,0.9046666126362093
35,45,1,0.87964854654753
36,45,2,0.8981551995031485
37,45,3,0.8977575828562607
38,45,4,0.9007596690481023
39,45,5,0.9079100090188642
